Product_title,Price,Rating,Number_of_reviews,date,time_
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,20:34:55
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:08:14
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:08:20
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:08:26
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:08:33
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:08:39
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:08:45
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:08:51
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:08:57
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:09:03
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:09:10
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:09:16
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:09:22
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:09:28
Realme C51 6.74'' 4GB RAM/128GB ROM Android 13 - Black,"121,190",3.9 out of 5,15 verified rating,2024-10-19,21:09:34
